expiration_date,strike_price,type,implied_volatility,open_interest,last_price
2025-05-02,300.0,call,1.0000000000000003e-05,5,243.64
2025-05-02,310.0,call,1.0000000000000003e-05,1,216.6
2025-05-02,315.0,call,1.0000000000000003e-05,1,218.61
2025-05-02,350.0,call,1.0000000000000003e-05,1,151.08
2025-05-02,375.0,call,1.0000000000000003e-05,14,145.0
2025-05-02,390.0,call,1.0000000000000003e-05,10,129.77
2025-05-02,400.0,call,1.0000000000000003e-05,50,125.56
2025-05-02,415.0,call,1.0000000000000003e-05,2,115.01
2025-05-02,420.0,call,1.0000000000000003e-05,3,103.04
2025-05-02,425.0,call,1.0000000000000003e-05,4,83.68
2025-05-02,430.0,call,1.0000000000000003e-05,8,106.93
2025-05-02,435.0,call,1.0000000000000003e-05,4,78.13
2025-05-02,440.0,call,1.0000000000000003e-05,12,103.84
2025-05-02,445.0,call,1.0000000000000003e-05,1,96.8
2025-05-02,450.0,call,1.0000000000000003e-05,224,72.78
2025-05-02,455.0,call,1.0000000000000003e-05,19,74.37
2025-05-02,460.0,call,1.0000000000000003e-05,17,69.39
2025-05-02,465.0,call,1.0000000000000003e-05,17,65.43
2025-05-02,470.0,call,1.0000000000000003e-05,136,75.36
2025-05-02,475.0,call,1.0000000000000003e-05,34,69.66
2025-05-02,480.0,call,1.0000000000000003e-05,213,57.96
2025-05-02,485.0,call,1.0000000000000003e-05,417,61.06
2025-05-02,490.0,call,0.27735097656249996,797,39.36
2025-05-02,495.0,call,0.2890696093749999,511,37.24
2025-05-02,496.0,call,0.30005582763671873,3,21.27
2025-05-02,500.0,call,0.30762411132812495,814,39.14
2025-05-02,501.0,call,0.3002999658203125,26,44.67
2025-05-02,502.0,call,0.3053047985839844,11,40.96
2025-05-02,503.0,call,0.3112861840820312,29,39.82
2025-05-02,505.0,call,0.30652548950195313,952,41.44
2025-05-02,506.0,call,0.29968962036132807,589,34.39
2025-05-02,507.0,call,0.30274134765625,198,32.38
2025-05-02,508.0,call,0.30152065673828127,211,20.9
2025-05-02,509.0,call,0.30005582763671873,342,32.88
2025-05-02,510.0,call,0.3050606604003906,1188,33.37
2025-05-02,511.0,call,0.306220316772461,219,28.53
2025-05-02,512.0,call,0.30298548583984375,473,32.22
2025-05-02,513.0,call,0.30371790039062496,110,33.75
2025-05-02,514.0,call,0.3007882421875,395,24.83
2025-05-02,515.0,call,0.2954172021484375,2520,24.53
2025-05-02,516.0,call,0.30188686401367193,467,31.37
2025-05-02,517.0,call,0.2951120294189453,280,24.46
2025-05-02,518.0,call,0.2935251312255859,369,28.53
2025-05-02,519.0,call,0.2970041003417968,293,20.97
2025-05-02,520.0,call,0.2915109912109374,2280,22.33
2025-05-02,521.0,call,0.29505099487304687,477,22.32
2025-05-02,522.0,call,0.29407444213867184,793,21.97
2025-05-02,523.0,call,0.2937082348632812,617,19.71
2025-05-02,524.0,call,0.28919167846679683,1165,17.54
2025-05-02,525.0,call,0.2884592639160155,3539,18.39
2025-05-02,526.0,call,0.2882151257324218,1017,16.26
2025-05-02,527.0,call,0.28815409118652335,1003,15.47
2025-05-02,528.0,call,0.2864451239013671,753,14.78
2025-05-02,529.0,call,0.28436994934082027,869,15.7
2025-05-02,530.0,call,0.2821727056884765,5669,14.89
2025-05-02,531.0,call,0.2795482202148437,952,14.0
2025-05-02,532.0,call,0.27838856384277344,1245,12.8
2025-05-02,533.0,call,0.2784495983886719,704,11.76
2025-05-02,534.0,call,0.27637442382812494,985,12.31
2025-05-02,535.0,call,0.27472649108886715,2407,11.85
2025-05-02,536.0,call,0.2717968328857422,1047,10.92
2025-05-02,537.0,call,0.27045407287597656,516,10.42
2025-05-02,538.0,call,0.2708507974243164,927,9.84
2025-05-02,539.0,call,0.2691113128662109,1756,9.3
2025-05-02,540.0,call,0.268012691040039,2928,8.9
2025-05-02,541.0,call,0.26392337646484376,1698,8.45
2025-05-02,542.0,call,0.2638623419189453,1249,7.59
2025-05-02,543.0,call,0.26166509826660156,917,7.47
2025-05-02,544.0,call,0.2591931991577149,479,6.78
2025-05-02,545.0,call,0.25739268005371096,2235,6.5
2025-05-02,546.0,call,0.2564771618652344,984,6.11
2025-05-02,547.0,call,0.2559888854980469,1045,5.49
2025-05-02,547.5,call,0.2543409527587891,557,4.71
2025-05-02,548.0,call,0.253486469116211,706,5.27
2025-05-02,549.0,call,0.25135026000976557,613,4.25
2025-05-02,550.0,call,0.2508009490966796,7375,4.55
2025-05-02,551.0,call,0.2503737072753906,1323,4.11
2025-05-02,552.0,call,0.24683370361328127,1588,3.71
2025-05-02,552.5,call,0.24732197998046873,767,3.64
2025-05-02,553.0,call,0.2452468054199219,533,3.4
2025-05-02,554.0,call,0.2438430108642578,752,3.26
2025-05-02,555.0,call,0.2425612854003906,4430,2.85
2025-05-02,556.0,call,0.24292749267578123,1752,2.7
2025-05-02,557.0,call,0.24005886901855467,417,2.46
2025-05-02,557.5,call,0.2395095581054687,671,2.3
2025-05-02,558.0,call,0.239692661743164,1180,2.25
2025-05-02,559.0,call,0.2387771435546875,1188,2.0
2025-05-02,560.0,call,0.23780059082031246,4591,1.85
2025-05-02,561.0,call,0.23706817626953125,1523,1.39
2025-05-02,562.0,call,0.2352371398925781,648,1.37
2025-05-02,562.5,call,0.2356033471679687,415,1.4
2025-05-02,563.0,call,0.23432162170410153,768,1.34
2025-05-02,564.0,call,0.23279575805664063,1258,1.25
2025-05-02,565.0,call,0.23279575805664063,2069,1.08
2025-05-02,566.0,call,0.23230748168945312,750,0.84
2025-05-02,567.0,call,0.23120885986328127,1031,0.8
2025-05-02,567.5,call,0.23011023803710937,834,0.85
2025-05-02,568.0,call,0.229499892578125,800,0.73
2025-05-02,569.0,call,0.22925575439453127,1275,0.68
2025-05-02,570.0,call,0.22852333984375,4648,0.61
2025-05-02,571.0,call,0.22876747802734376,5296,0.53
2025-05-02,572.0,call,0.22876747802734376,1077,0.5
2025-05-02,572.5,call,0.22852333984375,707,0.41
2025-05-02,573.0,call,0.2280350634765625,1007,0.4
2025-05-02,574.0,call,0.22876747802734376,1122,0.39
2025-05-02,575.0,call,0.22815713256835937,3348,0.34
2025-05-02,576.0,call,0.225593681640625,644,0.33
2025-05-02,577.0,call,0.2260819580078125,439,0.26
2025-05-02,578.0,call,0.2260819580078125,688,0.21
2025-05-02,579.0,call,0.22754678710937498,364,0.2
2025-05-02,580.0,call,0.22852333984375,4173,0.2
2025-05-02,581.0,call,0.22754678710937498,428,0.16
2025-05-02,582.0,call,0.229499892578125,717,0.19
2025-05-02,582.5,call,0.229499892578125,1335,0.19
2025-05-02,583.0,call,0.23194127441406248,1243,0.28
2025-05-02,585.0,call,0.2329178271484375,2192,0.12
2025-05-02,590.0,call,0.241218525390625,3041,0.08
2025-05-02,595.0,call,0.247077841796875,3086,0.05
2025-05-02,600.0,call,0.25977302734375,19465,0.05
2025-05-02,605.0,call,0.27735097656249996,3619,0.07
2025-05-02,610.0,call,0.28711650390624993,1320,0.04
2025-05-02,615.0,call,0.304694453125,943,0.02
2025-05-02,620.0,call,0.31250687499999996,4267,0.04
2025-05-02,625.0,call,0.32813171874999997,17578,0.04
2025-05-02,630.0,call,0.3437565625,10745,0.02
2025-05-02,635.0,call,0.3437565625,1131,0.03
2025-05-02,640.0,call,0.35938140625,1047,0.01
2025-05-02,645.0,call,0.37500625,278,0.01
2025-05-02,650.0,call,0.39063109375,632,0.02
2025-05-02,265.0,put,1.2500037499999999,230,0.01
2025-05-02,275.0,put,1.1875040625,1001,0.02
2025-05-02,290.0,put,1.09375453125,20,0.01
2025-05-02,295.0,put,1.0625046875000002,57,0.01
2025-05-02,300.0,put,1.0312548437500002,1034,0.01
2025-05-02,305.0,put,1.000005,389,0.01
2025-05-02,310.0,put,0.9687503125,243,0.01
2025-05-02,315.0,put,0.937500625,122,0.04
2025-05-02,320.0,put,0.9687503125,107,0.01
2025-05-02,325.0,put,0.9687503125,119,0.01
2025-05-02,330.0,put,0.945313046875,116,0.01
2025-05-02,335.0,put,0.914063359375,54,0.02
2025-05-02,340.0,put,0.8906260937499999,305,0.02
2025-05-02,345.0,put,0.8828136718749999,480,0.02
2025-05-02,350.0,put,0.87500125,702,0.03
2025-05-02,355.0,put,0.8437515624999999,366,0.02
2025-05-02,360.0,put,0.8437515624999999,137,0.02
2025-05-02,365.0,put,0.8164080859374999,228,0.04
2025-05-02,370.0,put,0.8105487695312499,3782,0.02
2025-05-02,375.0,put,0.7929708203125,1613,0.06
2025-05-02,380.0,put,0.773439765625,5277,0.1
2025-05-02,385.0,put,0.7578149218750001,685,0.08
2025-05-02,390.0,put,0.7421900781249999,1103,0.07
2025-05-02,395.0,put,0.726565234375,728,0.1
2025-05-02,400.0,put,0.71679970703125,35075,0.1
2025-05-02,405.0,put,0.6962920996093751,1527,0.11
2025-05-02,410.0,put,0.6816438085937502,1526,0.11
2025-05-02,415.0,put,0.6630893066406252,1776,0.17
2025-05-02,420.0,put,0.64648791015625,1870,0.21
2025-05-02,425.0,put,0.6259803027343751,3086,0.18
2025-05-02,430.0,put,0.6084023535156251,2644,0.23
2025-05-02,435.0,put,0.5918009570312501,54037,0.21
2025-05-02,440.0,put,0.5732464550781251,4812,0.27
2025-05-02,445.0,put,0.5556685058593751,2743,0.31
2025-05-02,450.0,put,0.5361374511718751,17588,0.38
2025-05-02,455.0,put,0.51562984375,3617,0.39
2025-05-02,460.0,put,0.49609878906250005,4663,0.42
2025-05-02,465.0,put,0.476567734375,5854,0.55
2025-05-02,470.0,put,0.45532771240234376,35895,0.57
2025-05-02,475.0,put,0.43726148681640625,9855,0.7
2025-05-02,480.0,put,0.41968353759765625,7165,0.71
2025-05-02,485.0,put,0.40405869384765625,3258,0.85
2025-05-02,490.0,put,0.3891662646484375,11141,1.0
2025-05-02,495.0,put,0.3745179736328125,13456,1.26
2025-05-02,496.0,put,0.37293107543945314,994,1.3
2025-05-02,497.0,put,0.37036762451171873,419,1.68
2025-05-02,498.0,put,0.3668276208496094,270,1.53
2025-05-02,499.0,put,0.36463037719726565,314,1.52
2025-05-02,500.0,put,0.3626772717285156,11149,1.59
2025-05-02,501.0,put,0.35999175170898434,391,1.99
2025-05-02,502.0,put,0.35767243896484374,247,1.66
2025-05-02,503.0,put,0.35681795532226557,416,2.24
2025-05-02,504.0,put,0.3534000207519531,899,1.83
2025-05-02,505.0,put,0.35095863891601553,3688,2.0
2025-05-02,506.0,put,0.3487613952636719,727,2.16
2025-05-02,507.0,put,0.34632001342773433,853,2.28
2025-05-02,508.0,put,0.3460758752441406,1852,2.31
